Player,Nation,Pos,Sec_Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Davide Bartesaghi,ITA,DF,,Milan ,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,1,0,0,0,0,0,0,0.24,0.24,0,0.24
Afonso Bastardo,POR,MF,,Sporting CP,2005,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0.1,0,0.1,0.1,0.1
Alessandro Bastoni,ITA,DF,,Inter ,1999,14,12,"1,075",11.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,15,50,24,0,0.08,0.08,0,0.08,0.02,0.03,0.05,0.02,0.05
Martin Baturina,CRO,MF,FW,Dinamo Zagreb,2003,8,8,619,6.9,2,1,3,2,0,0,2,0,0.8,0.8,1.4,2.2,32,35,21,0.29,0.15,0.44,0.29,0.44,0.12,0.21,0.32,0.12,0.32
Christoph Baumgartner,AUT,MF,FW,RB Leipzig,1999,8,6,480,5.3,2,0,2,2,0,0,2,0,2,2,0.4,2.4,6,10,26,0.37,0,0.37,0.37,0.37,0.38,0.08,0.45,0.38,0.45
Donny van de Beek,NED,MF,FW,Girona ,1997,7,6,448,5,1,0,1,1,0,0,1,0,0.7,0.7,0.7,1.4,7,24,22,0.2,0,0.2,0.2,0.2,0.14,0.15,0.29,0.14,0.29
Thomas Beelen,NED,DF,MF,Feyenoord ,2001,12,8,829,9.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,27,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Maximilian Beier,GER,FW,MF,Dortmund ,2002,12,6,616,6.8,1,0,1,1,0,0,2,0,1.2,1.2,0.4,1.6,7,10,32,0.15,0,0.15,0.15,0.15,0.17,0.06,0.24,0.17,0.24
Raoul Bellanova,ITA,DF,,Atalanta ,2000,8,6,463,5.1,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.8,23,16,34,0.19,0,0.19,0.19,0.19,0.09,0.07,0.16,0.09,0.16
Jude Bellingham,ENG,MF,,Real Madrid,2003,13,13,"1,131",12.6,3,3,6,3,0,0,3,0,3.8,3.8,2.2,6,23,78,47,0.24,0.24,0.48,0.24,0.48,0.31,0.18,0.49,0.31,0.49
Jeanuël Belocian,FRA,DF,,Leverkusen ,2005,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
Andrea Belotti,ITA,FW,,Benfica ,1993,4,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28
Eliesse Ben Seghir,MAR,MF,FW,Monaco ,2005,10,7,545,6.1,2,0,2,2,0,0,1,0,1.5,1.5,0.5,2,20,20,41,0.33,0,0.33,0.33,0.33,0.24,0.08,0.33,0.24,0.33
Walter Benítez,ARG,GK,,PSV Eindhoven,1993,11,11,"1,020",11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Benito,SUI,DF,,Young Boys,1992,5,4,326,3.6,0,0,0,0,0,0,2,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Ismaël Bennacer,ALG,MF,,Milan ,1997,1,1,74,0.8,0,1,1,0,0,0,0,0,0,0,0.4,0.4,2,4,0,0,1.22,1.22,0,1.22,0.05,0.47,0.52,0.05,0.52
Ramy Bensebaini,ALG,DF,,Dortmund ,1995,12,8,745,8.3,2,1,3,2,0,0,4,0,1.3,1.3,1.2,2.5,16,54,24,0.24,0.12,0.36,0.24,0.36,0.16,0.15,0.3,0.16,0.3
Lucas Beraldo,BRA,DF,,Paris S-G,2003,4,1,142,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,6,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09
Thomas Berenbruch,ITA,MF,,Inter ,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Paulo Bernardo,POR,MF,,Celtic ,2002,8,2,241,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,15,9,0,0,0,0,0,0.08,0.03,0.11,0.08,0.11
Maxime Bernauer,FRA,DF,,Dinamo Zagreb,1998,6,5,466,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,12,2,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Jan-Niklas Beste,GER,FW,DF,Benfica ,1999,5,0,113,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,2,2,16,0,0.8,0.8,0,0.8,0.07,0.47,0.54,0.07,0.54
Sam Beukema,NED,DF,,Bologna ,1998,8,8,646,7.2,0,1,1,0,0,0,3,0,0.3,0.3,0.6,0.9,7,33,0,0,0.14,0.14,0,0.14,0.04,0.09,0.13,0.04,0.13
Mads Bidstrup,DEN,MF,,RB Salzburg,2001,5,4,331,3.7,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1,3,9,12,0.27,0,0.27,0.27,0.27,0.2,0.08,0.27,0.2,0.27
Biel,BRA,MF,FW,Sporting CP,2001,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0.04,0.04,0,0.04
Mika Biereth,DEN,FW,,Sturm Graz,2003,6,6,470,5.2,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,5,7,20,0.38,0,0.38,0.38,0.38,0.4,0.02,0.42,0.4,0.42
Mika Biereth,DEN,FW,,Monaco ,2003,2,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0
Justin Bijlow,NED,GK,,Feyenoord ,1998,2,2,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
El Bilal Touré,MLI,FW,MF,Stuttgart ,2001,4,1,139,1.5,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,3,1,9,0.65,0,0.65,0.65,0.65,0.51,0,0.51,0.51,0.51
Veljko Birmančević,SRB,FW,,Sparta Prague,1998,6,6,491,5.5,0,0,0,0,0,0,1,0,1.4,1.4,0.3,1.7,14,8,31,0,0,0,0,0,0.25,0.06,0.31,0.25,0.31
Marco Bizot,NED,GK,,Brest ,1991,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
César Blackman,PAN,DF,MF,Slovan Bratislava,1998,8,8,718,8,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,11,18,39,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Hendry Blank,GER,DF,,RB Salzburg,2004,4,3,284,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Janis Blaswich,GER,GK,,RB Salzburg,1991,5,4,382,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daley Blind,NED,DF,,Girona ,1990,4,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0.4,0.4,3,18,6,0,0,0,0,0,0,0.11,0.11,0,0.11
Lewin Blum,SUI,DF,,Young Boys,2001,7,5,440,4.9,0,0,0,0,0,0,1,0,0,0,0.5,0.6,5,14,18,0,0,0,0,0,0.01,0.11,0.12,0.01,0.12
Benjamin Boakye,GER,FW,,Stuttgart ,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
Sacha Boey,FRA,DF,,Bayern Munich,2000,3,1,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,13,27,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17
Lamare Bogarde,NED,DF,MF,Aston Villa,2004,4,2,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Valerii Bondar,UKR,DF,,Shakhtar ,1999,8,8,720,8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,11,0,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
Artem Bondarenko,UKR,MF,,Shakhtar ,2000,8,5,462,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,6,14,12,0,0,0,0,0,0.05,0,0.06,0.05,0.06
Victor Boniface,NGA,FW,,Leverkusen ,2000,4,3,240,2.7,1,0,1,1,0,0,0,0,1.8,1.8,0.1,1.9,11,6,17,0.37,0,0.37,0.37,0.37,0.68,0.02,0.71,0.68,0.71
Olivier Boscagli,FRA,DF,,PSV Eindhoven,1997,11,10,910,10.1,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,12,79,1,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
Ayyoub Bouaddi,FRA,MF,,Lille ,2007,9,7,622,6.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,22,8,0,0.14,0.14,0,0.14,0.02,0.02,0.04,0.02,0.04
Conor Bradley,NIR,DF,,Liverpool ,2003,5,3,277,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,9,11,15,0,0.32,0.32,0,0.32,0.12,0.1,0.22,0.12,0.22
